idVenta,idProducto,cantidad,precio,costo,cancelada,idDetalle,creacion,actualizacion,activo
61,DUL001,2,0,1000.0,False,150,2025-04-18 09:08:09,2025-04-18 09:08:09,True
61,DUL008,1,0,1600.0,False,151,2025-04-18 09:08:09,2025-04-18 09:08:09,True
63,CAF001,1,3500,1071.31,False,152,2025-04-18 09:26:00,2025-04-18 09:26:00,True
63,CAF009,1,4000,1235.85,False,153,2025-04-18 09:26:00,2025-04-18 09:26:00,True
63,DUL002,1,3500,1000.0,False,154,2025-04-18 09:26:00,2025-04-18 09:26:00,True
64,PRO001,1,5200,2071.31,False,155,2025-04-18 09:45:53,2025-04-18 09:45:53,True
65,PRO007,1,9000,2700.0,False,156,2025-04-18 10:01:26,2025-04-18 10:01:26,True
66,CAF017,1,4000,1108.27,False,157,2025-04-18 10:07:47,2025-04-18 10:07:47,True
67,CAF001,2,7000,2142.62,False,158,2025-04-18 11:12:57,2025-04-18 11:12:57,True
67,SAL002,1,4500,1899.0,False,159,2025-04-18 11:12:57,2025-04-18 11:12:57,True
67,CAF001,3,10500,3213.94,False,160,2025-04-18 11:12:57,2025-04-18 11:12:57,True
68,CAF003,1,3000,1071.31,False,161,2025-04-18 11:59:08,2025-04-18 11:59:08,True
69,SAL002,1,4500,1899.0,False,162,2025-04-18 12:14:40,2025-04-18 12:14:40,True
69,CAF005,1,3000,1071.31,False,163,2025-04-18 12:14:40,2025-04-18 12:14:40,True
69,DUL003,1,3200,800.0,False,164,2025-04-18 12:14:40,2025-04-18 12:14:40,True
69,CAF001,1,3500,1071.31,False,165,2025-04-18 12:14:40,2025-04-18 12:14:40,True
70,PRO001,1,5200,2071.31,False,166,2025-04-18 12:46:00,2025-04-18 12:46:00,True
71,DUL001,2,2400,1000.0,False,167,2025-04-18 13:20:55,2025-04-18 13:20:55,True
71,DUL005,1,2800,1400.0,False,168,2025-04-18 13:20:55,2025-04-18 13:20:55,True
72,DUL001,2,2400,1000.0,False,169,2025-04-18 14:18:46,2025-04-18 14:18:46,True
73,SAL001,2,5000,1960.0,False,170,2025-04-18 14:41:10,2025-04-18 14:41:10,True
73,CAF003,1,3000,1071.31,False,171,2025-04-18 14:41:10,2025-04-18 14:41:10,True
74,DUL004,1,4200,1513.0,False,172,2025-04-18 16:09:06,2025-04-18 16:09:06,True
74,DUL003,1,3200,800.0,False,173,2025-04-18 16:09:06,2025-04-18 16:09:06,True
75,DUL002,1,3500,1000.0,False,174,2025-04-18 16:19:22,2025-04-18 16:19:22,True
75,DUL009,1,4200,1200.0,False,175,2025-04-18 16:19:22,2025-04-18 16:19:22,True
76,CAF001,1,3500,1071.31,False,176,2025-04-18 16:50:31,2025-04-18 16:50:31,True
77,CAF007,1,4000,1383.05,False,177,2025-04-18 16:50:49,2025-04-18 16:50:49,True
77,CAF008,1,3500,1071.31,False,178,2025-04-18 16:50:49,2025-04-18 16:50:49,True
77,DUL008,1,4200,1600.0,False,179,2025-04-18 16:50:49,2025-04-18 16:50:49,True
78,SAL005,1,4500,1400.0,False,180,2025-04-18 16:53:30,2025-04-18 16:53:30,True
78,CAF001,1,3500,1071.31,False,181,2025-04-18 16:53:30,2025-04-18 16:53:30,True
79,DUL002,1,3500,1000.0,False,182,2025-04-18 17:01:40,2025-04-18 17:01:40,True
79,DUL003,1,3200,800.0,False,183,2025-04-18 17:01:40,2025-04-18 17:01:40,True
79,CAF004,1,3500,1071.31,False,184,2025-04-18 17:01:40,2025-04-18 17:01:40,True
79,CAF001,1,3500,1071.31,False,185,2025-04-18 17:01:40,2025-04-18 17:01:40,True
80,CAF001,1,3500,1071.31,False,186,2025-04-18 17:11:02,2025-04-18 17:11:02,True
80,DUL011,1,3800,1500.0,False,187,2025-04-18 17:11:02,2025-04-18 17:11:02,True
81,CAF001,2,7000,2142.62,False,188,2025-04-18 17:13:32,2025-04-18 17:13:32,True
82,DUL008,1,4200,1600.0,False,189,2025-04-18 17:18:33,2025-04-18 17:18:33,True
82,DUL004,1,4200,1513.0,False,190,2025-04-18 17:18:33,2025-04-18 17:18:33,True
82,CAF014,1,4000,1237.27,False,191,2025-04-18 17:18:33,2025-04-18 17:18:33,True
82,CAF001,1,3500,1071.31,False,192,2025-04-18 17:18:33,2025-04-18 17:18:33,True
83,DUL003,1,3200,800.0,False,193,2025-04-18 17:19:12,2025-04-18 17:19:12,True
83,DUL005,1,2800,1400.0,False,194,2025-04-18 17:19:12,2025-04-18 17:19:12,True
84,DUL008,1,4200,1600.0,False,195,2025-04-18 17:23:02,2025-04-18 17:23:02,True
84,DUL002,1,3500,1000.0,False,196,2025-04-18 17:23:02,2025-04-18 17:23:02,True
84,CAF001,1,3500,1071.31,False,197,2025-04-18 17:23:02,2025-04-18 17:23:02,True
84,CAF002,1,3500,1071.31,False,198,2025-04-18 17:23:02,2025-04-18 17:23:02,True
85,DUL003,1,3200,800.0,False,199,2025-04-18 17:44:03,2025-04-18 17:44:03,True
85,DUL013,1,3800,1500.0,False,200,2025-04-18 17:44:03,2025-04-18 17:44:03,True
85,DUL009,1,4200,1200.0,False,201,2025-04-18 17:44:03,2025-04-18 17:44:03,True
85,DUL007,2,8400,3600.0,False,202,2025-04-18 17:44:03,2025-04-18 17:44:03,True
85,DUL007,1,4200,1800.0,False,203,2025-04-18 17:44:03,2025-04-18 17:44:03,True
85,DUL003,1,3200,800.0,False,204,2025-04-18 17:44:03,2025-04-18 17:44:03,True
85,SAL005,1,4500,1400.0,False,205,2025-04-18 17:44:03,2025-04-18 17:44:03,True
85,BEB004,1,4000,280.0,False,206,2025-04-18 17:44:03,2025-04-18 17:44:03,True
85,BEB002,1,4000,843.86,False,207,2025-04-18 17:44:03,2025-04-18 17:44:03,True
85,CAF009,1,4000,1235.85,False,208,2025-04-18 17:44:03,2025-04-18 17:44:03,True
86,PRO007,1,9000,2700.0,False,209,2025-04-18 17:52:39,2025-04-18 17:52:39,True
86,CAF003,2,6000,2142.62,False,210,2025-04-18 17:52:39,2025-04-18 17:52:39,True
87,DUL008,1,4200,1600.0,False,211,2025-04-18 17:58:29,2025-04-18 17:58:29,True
87,DUL002,1,3500,1000.0,False,212,2025-04-18 17:58:29,2025-04-18 17:58:29,True
87,CAF001,2,7000,2142.62,False,213,2025-04-18 17:58:29,2025-04-18 17:58:29,True
88,DUL011,1,3800,1500.0,False,214,2025-04-18 18:00:05,2025-04-18 18:00:05,True
88,DUL013,1,3800,1500.0,False,215,2025-04-18 18:00:05,2025-04-18 18:00:05,True
88,CAF003,1,3000,1071.31,False,216,2025-04-18 18:00:05,2025-04-18 18:00:05,True
89,SAL001,1,2500,980.0,False,217,2025-04-18 18:07:14,2025-04-18 18:07:14,True
89,CAF001,1,3500,1071.31,False,218,2025-04-18 18:07:14,2025-04-18 18:07:14,True
90,CAF009,1,4000,1235.85,False,219,2025-04-18 18:14:14,2025-04-18 18:14:14,True
91,CAF014,1,4000,1237.27,False,220,2025-04-18 18:16:16,2025-04-18 18:16:16,True
91,CAF002,1,3500,1071.31,False,221,2025-04-18 18:16:16,2025-04-18 18:16:16,True
92,DUL002,1,3500,1000.0,False,222,2025-04-18 18:26:19,2025-04-18 18:26:19,True
93,CAF001,1,3500,1071.31,False,223,2025-04-19 09:07:23,2025-04-19 09:07:23,True
94,PRO001,1,5200,2071.31,False,224,2025-04-19 09:16:07,2025-04-19 09:16:07,True
94,SAL001,1,2500,980.0,False,225,2025-04-19 09:16:07,2025-04-19 09:16:07,True
94,PRO001,1,5200,2071.31,False,226,2025-04-19 09:16:07,2025-04-19 09:16:07,True
94,CAF003,4,12000,4285.25,False,227,2025-04-19 09:16:07,2025-04-19 09:16:07,True
94,SAL005,1,4500,1400.0,False,228,2025-04-19 09:16:07,2025-04-19 09:16:07,True
95,CAF001,1,3500,1071.31,False,229,2025-04-19 09:19:30,2025-04-19 09:19:30,True
96,CAF008,1,3500,1071.31,True,230,2025-04-19 09:37:42,2025-04-19 09:37:42,True
96,DUL003,2,6400,1600.0,True,231,2025-04-19 09:37:42,2025-04-19 09:37:42,True
96,SIN001,1,3500,1305.0,True,232,2025-04-19 09:37:42,2025-04-19 09:37:42,True
96,CAF001,1,3500,1071.31,True,233,2025-04-19 09:37:42,2025-04-19 09:37:42,True
97,CAF008,1,3500,1071.31,False,234,2025-04-19 09:46:31,2025-04-19 09:46:31,True
97,DUL003,2,6400,1600.0,False,235,2025-04-19 09:46:31,2025-04-19 09:46:31,True
97,SIN001,1,3500,1305.0,False,236,2025-04-19 09:46:31,2025-04-19 09:46:31,True
98,CAF006,1,3000,746.66,False,237,2025-04-19 09:54:38,2025-04-19 09:54:38,True
98,PRO001,1,5200,2071.31,False,238,2025-04-19 09:54:38,2025-04-19 09:54:38,True
99,DUL004,1,4200,1513.0,False,239,2025-04-19 10:14:14,2025-04-19 10:14:14,True
99,DUL002,1,3500,1000.0,False,240,2025-04-19 10:14:14,2025-04-19 10:14:14,True
100,DUL007,1,4200,1800.0,False,241,2025-04-19 10:14:53,2025-04-19 10:14:53,True
100,CAF008,1,3500,1071.31,False,242,2025-04-19 10:14:53,2025-04-19 10:14:53,True
101,CAF003,2,6000,2142.62,False,243,2025-04-19 10:20:30,2025-04-19 10:20:30,True
102,PRO001,1,5200,2071.31,False,244,2025-04-19 10:35:45,2025-04-19 10:35:45,True
103,PRO001,1,5200,2071.31,False,245,2025-04-19 10:43:10,2025-04-19 10:43:10,True
104,DUL001,1,1200,500.0,False,246,2025-04-19 10:52:43,2025-04-19 10:52:43,True
105,DUL002,1,3500,1000.0,False,247,2025-04-19 11:02:42,2025-04-19 11:02:42,True
105,CAF002,2,7000,2142.62,False,248,2025-04-19 11:02:42,2025-04-19 11:02:42,True
106,CAF002,1,3500,1071.31,False,249,2025-04-19 11:09:23,2025-04-19 11:09:23,True
107,DUL008,1,4200,1600.0,False,250,2025-04-19 11:39:22,2025-04-19 11:39:22,True
108,CAF002,1,3500,1071.31,False,251,2025-04-19 11:40:49,2025-04-19 11:40:49,True
108,DUL002,1,3500,1000.0,False,252,2025-04-19 11:40:49,2025-04-19 11:40:49,True
108,CAF009,1,4000,1235.85,False,253,2025-04-19 11:40:49,2025-04-19 11:40:49,True
108,CAF003,1,3000,1071.31,False,254,2025-04-19 11:40:49,2025-04-19 11:40:49,True
109,CAF001,1,3500,1071.31,False,255,2025-04-19 11:43:23,2025-04-19 11:43:23,True
109,CAF015,1,4000,1294.57,False,256,2025-04-19 11:43:23,2025-04-19 11:43:23,True
110,DUL004,1,4200,1513.0,False,257,2025-04-19 11:51:01,2025-04-19 11:51:01,True
111,DUL001,2,2400,1000.0,False,258,2025-04-19 11:51:56,2025-04-19 11:51:56,True
